"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err","err_fpr","err_fnr"
"1",0.1,0.08,0.12,0.10935,0.130730692882125,0.0804,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"2",0.3,0.36,0.24,0.1459,0.136894995898277,0.1583,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"3",0.24,0.36,0.12,0.13795,0.103319820313356,0.1816,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"4",0.18,0.2,0.16,0.12375,0.107459572248305,0.1445,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"5",0.34,0.44,0.24,0.1362,0.106617647058824,0.1738,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"6",0.16,0.24,0.08,0.109,0.118759750390016,0.0962,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"7",0.14,0.12,0.16,0.11865,0.0810721740085686,0.1635,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"8",0.26,0.24,0.28,0.12715,0.122506834058925,0.1333,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"9",0.16,0.24,0.08,0.13295,0.121636944644882,0.1479,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"10",0.3,0.28,0.32,0.14805,0.153011929409445,0.1409,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"11",0.32,0.28,0.36,0.1646,0.201760626000356,0.1023,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"12",0.18,0.2,0.16,0.1185,0.133736559139785,0.0977,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"13",0.22,0.08,0.36,0.16835,0.198855897575592,0.1177,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"14",0.3,0.44,0.16,0.13725,0.106945497887095,0.1758,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"15",0.12,0.12,0.12,0.17015,0.145055418056602,0.2055,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"16",0.2,0.16,0.24,0.1402,0.151221403644824,0.1244,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"17",0.22,0.28,0.16,0.12725,0.103668261562998,0.157,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"18",0.38,0.52,0.24,0.1845,0.147643511279875,0.2368,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"19",0.22,0.16,0.28,0.11565,0.112120294681603,0.1202,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"20",0.38,0.32,0.44,0.17925,0.221981450983791,0.1024,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"21",0.18,0.16,0.2,0.16965,0.198942859746651,0.121,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"22",0.24,0.2,0.28,0.16395,0.164921726991724,0.1625,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"23",0.22,0.24,0.2,0.17345,0.170251438957892,0.1783,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"24",0.4,0.36,0.44,0.11955,0.134288186100163,0.0994,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"25",0.26,0.2,0.32,0.1545,0.197354590049054,0.0837,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"26",0.32,0.32,0.32,0.12225,0.0966364121729845,0.154,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"27",0.14,0.08,0.2,0.12215,0.159931599315993,0.0666,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"28",0.36,0.28,0.44,0.17405,0.203816447069514,0.1238,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"29",0.2,0.2,0.2,0.09705,0.0718308362554458,0.1265,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"30",0.3,0.4,0.2,0.2067,0.118793865349623,0.322,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"31",0.22,0.2,0.24,0.12985,0.108762287284642,0.1568,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"32",0.46,0.6,0.32,0.1289,0.107716701902748,0.1559,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"33",0.14,0.12,0.16,0.1163,0.0817527795945062,0.1576,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"34",0.42,0.4,0.44,0.16435,0.167640360431726,0.1594,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"35",0.26,0.28,0.24,0.18495,0.20874549320514,0.1441,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"36",0.24,0.32,0.16,0.10815,0.108189181081892,0.1081,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"37",0.3,0.28,0.32,0.2044,0.231760435571688,0.1534,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"38",0.22,0.28,0.16,0.11765,0.113904877309906,0.1225,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"39",0.34,0.28,0.4,0.179,0.128558204119417,0.2469,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"40",0.2,0.12,0.28,0.12485,0.136235818869388,0.1092,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"41",0.36,0.4,0.32,0.1536,0.16660250240616,0.1341,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"42",0.52,0.4,0.64,0.2316,0.277224435590969,0.1292,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"43",0.44,0.4,0.48,0.1647,0.184215483141835,0.1338,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"44",0.12,0.16,0.08,0.1239,0.121629778672032,0.1269,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"45",0.28,0.36,0.2,0.12035,0.152048391531482,0.0748,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"46",0.2,0.2,0.2,0.12365,0.129248349916264,0.1161,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"47",0.18,0.32,0.04,0.11715,0.0977198697068404,0.1413,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"48",0.4,0.48,0.32,0.1819,0.151206140350877,0.2259,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"49",0.18,0.24,0.12,0.1346,0.118421052631579,0.1558,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"50",0.4,0.44,0.36,0.1223,0.118869828456105,0.1268,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"51",0.24,0.2,0.28,0.1613,0.208218470020675,0.0809,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"52",0.34,0.28,0.4,0.23595,0.2570166559308,0.1926,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"53",0.22,0.24,0.2,0.13515,0.121328489880643,0.1534,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"54",0.1,0.12,0.08,0.1136,0.131156930126002,0.0898,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"55",0.1,0.16,0.04,0.1121,0.106512477175898,0.1192,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"56",0.26,0.36,0.16,0.12405,0.110696903800352,0.1412,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"57",0.38,0.28,0.48,0.14195,0.105019305019305,0.1887,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"58",0.12,0.12,0.12,0.11465,0.0911405835543767,0.1434,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"59",0.38,0.36,0.4,0.13575,0.134983465277082,0.1368,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"60",0.26,0.24,0.28,0.1175,0.0803159973666886,0.1618,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"61",0.2,0.12,0.28,0.12675,0.147044917257683,0.098,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"62",0.14,0.12,0.16,0.13945,0.145651105651106,0.1307,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"63",0.2,0.16,0.24,0.0935,0.0978432924416304,0.0881,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
"64",0.24,0.24,0.24,0.11775,0.108871380333572,0.1291,50,1000,0.5,0.14058895,0.138254665791737,0.1414099
