"","err.hat","fpr.hat","fnr.hat","errxy","errxy_fpr","errxy_fnr","n","p","prop","err","err_fpr","err_fnr"
"1",0.40625,0.384615384615385,0.5,0.3571,0.348075696364023,0.3868,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"2",0.375,0.382352941176471,0.34375,0.32745,0.339890507562401,0.2886,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"3",0.28125,0.28125,0.28125,0.33165,0.336569265119891,0.3166,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"4",0.3125,0.3,0.34375,0.3304,0.323296520108356,0.3505,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"5",0.28125,0.25,0.34375,0.3307,0.331374501992032,0.3287,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"6",0.265625,0.2,0.375,0.33625,0.328874490542376,0.3578,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"7",0.390625,0.37037037037037,0.46875,0.33055,0.320668853846968,0.3581,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"8",0.390625,0.4,0.34375,0.3352,0.337827199370203,0.3271,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"9",0.3125,0.3125,0.3125,0.3349,0.325031793132683,0.3631,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"10",0.390625,0.379310344827586,0.4375,0.31825,0.308017323333685,0.3449,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"11",0.34375,0.352941176470588,0.3125,0.3416,0.353550295857988,0.3008,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"12",0.28125,0.28125,0.28125,0.3627,0.359381401065137,0.3745,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"13",0.3125,0.333333333333333,0.25,0.34255,0.348035903870283,0.3245,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"14",0.1875,0.166666666666667,0.21875,0.3396,0.342374213836478,0.3308,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"15",0.34375,0.321428571428571,0.40625,0.33935,0.328968380709039,0.3697,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"16",0.21875,0.25,0.15625,0.32815,0.323942219034935,0.3401,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"17",0.359375,0.344827586206897,0.40625,0.33435,0.333467377098623,0.337,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"18",0.359375,0.32,0.46875,0.3253,0.328658297371518,0.3155,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"19",0.28125,0.266666666666667,0.3125,0.32525,0.312560334656227,0.3591,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"20",0.25,0.214285714285714,0.3125,0.3317,0.319110060189166,0.3665,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"21",0.375,0.375,0.375,0.3283,0.326038500506586,0.3348,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"22",0.265625,0.241379310344828,0.3125,0.3979,0.401902382782475,0.3775,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"23",0.421875,0.428571428571429,0.375,0.3267,0.328041278031355,0.3228,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"24",0.3125,0.269230769230769,0.40625,0.34535,0.335949931049114,0.374,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"25",0.34375,0.375,0.21875,0.3239,0.321109305160504,0.3317,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"26",0.34375,0.34375,0.34375,0.3321,0.323893434025593,0.3554,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"27",0.265625,0.222222222222222,0.34375,0.3706,0.376408787010506,0.3471,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"28",0.375,0.357142857142857,0.4375,0.35545,0.364691566039502,0.3213,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"29",0.359375,0.344827586206897,0.40625,0.34735,0.347912722925177,0.3455,250,10,0.5,0.3374667,0.336942282502755,0.3367736
"30",0.34375,0.352941176470588,0.3125,0.3438,0.346742543171115,0.3342,250,10,0.5,0.3374667,0.336942282502755,0.3367736
