"","err.hat","errxy","n","p","prop","err"
"1",0.4,0.3978,75,10,0.5,0.36868435
"2",0.35,0.3865,75,10,0.5,0.36868435
"3",0.25,0.34575,75,10,0.5,0.36868435
"4",0.35,0.3558,75,10,0.5,0.36868435
"5",0.3,0.40805,75,10,0.5,0.36868435
"6",0.5,0.37175,75,10,0.5,0.36868435
"7",0.5,0.34495,75,10,0.5,0.36868435
"8",0.35,0.3468,75,10,0.5,0.36868435
"9",0.3,0.39135,75,10,0.5,0.36868435
"10",0.25,0.36755,75,10,0.5,0.36868435
"11",0.7,0.38855,75,10,0.5,0.36868435
"12",0.35,0.366,75,10,0.5,0.36868435
"13",0.45,0.346,75,10,0.5,0.36868435
"14",0.4,0.36325,75,10,0.5,0.36868435
"15",0.25,0.35525,75,10,0.5,0.36868435
"16",0.45,0.39795,75,10,0.5,0.36868435
"17",0.3,0.3659,75,10,0.5,0.36868435
"18",0.45,0.36265,75,10,0.5,0.36868435
"19",0.3,0.3397,75,10,0.5,0.36868435
"20",0.45,0.35325,75,10,0.5,0.36868435
"21",0.4,0.34005,75,10,0.5,0.36868435
"22",0.4,0.32855,75,10,0.5,0.36868435
"23",0.4,0.3646,75,10,0.5,0.36868435
"24",0.3,0.34515,75,10,0.5,0.36868435
"25",0.45,0.32945,75,10,0.5,0.36868435
"26",0.3,0.3406,75,10,0.5,0.36868435
"27",0.4,0.41395,75,10,0.5,0.36868435
"28",0.35,0.32925,75,10,0.5,0.36868435
"29",0.2,0.3554,75,10,0.5,0.36868435
"30",0.45,0.3596,75,10,0.5,0.36868435
"31",0.45,0.43055,75,10,0.5,0.36868435
"32",0.3,0.3957,75,10,0.5,0.36868435
"33",0.3,0.3465,75,10,0.5,0.36868435
"34",0.3,0.33175,75,10,0.5,0.36868435
"35",0.3,0.3363,75,10,0.5,0.36868435
"36",0.35,0.3737,75,10,0.5,0.36868435
"37",0.45,0.34715,75,10,0.5,0.36868435
"38",0.3,0.3301,75,10,0.5,0.36868435
"39",0.55,0.3708,75,10,0.5,0.36868435
"40",0.3,0.3722,75,10,0.5,0.36868435
"41",0.25,0.36435,75,10,0.5,0.36868435
"42",0.25,0.408,75,10,0.5,0.36868435
"43",0.4,0.3815,75,10,0.5,0.36868435
"44",0.3,0.3715,75,10,0.5,0.36868435
"45",0.4,0.4109,75,10,0.5,0.36868435
"46",0.3,0.34815,75,10,0.5,0.36868435
"47",0.2,0.3783,75,10,0.5,0.36868435
"48",0.3,0.36475,75,10,0.5,0.36868435
"49",0.45,0.3618,75,10,0.5,0.36868435
"50",0.35,0.358,75,10,0.5,0.36868435
"51",0.45,0.3873,75,10,0.5,0.36868435
"52",0.4,0.3496,75,10,0.5,0.36868435
"53",0.45,0.34665,75,10,0.5,0.36868435
"54",0.4,0.36535,75,10,0.5,0.36868435
"55",0.4,0.34825,75,10,0.5,0.36868435
"56",0.25,0.33085,75,10,0.5,0.36868435
"57",0.2,0.349,75,10,0.5,0.36868435
"58",0.45,0.3969,75,10,0.5,0.36868435
"59",0.55,0.3512,75,10,0.5,0.36868435
"60",0.2,0.35785,75,10,0.5,0.36868435
"61",0.35,0.40075,75,10,0.5,0.36868435
"62",0.3,0.34545,75,10,0.5,0.36868435
"63",0.35,0.36295,75,10,0.5,0.36868435
"64",0.45,0.3746,75,10,0.5,0.36868435
"65",0.2,0.3416,75,10,0.5,0.36868435
"66",0.4,0.4019,75,10,0.5,0.36868435
"67",0.35,0.36755,75,10,0.5,0.36868435
"68",0.3,0.364,75,10,0.5,0.36868435
"69",0.3,0.32785,75,10,0.5,0.36868435
"70",0.45,0.356,75,10,0.5,0.36868435
"71",0.25,0.3923,75,10,0.5,0.36868435
"72",0.4,0.37215,75,10,0.5,0.36868435
"73",0.35,0.33915,75,10,0.5,0.36868435
"74",0.35,0.381,75,10,0.5,0.36868435
"75",0.5,0.41665,75,10,0.5,0.36868435
"76",0.35,0.3945,75,10,0.5,0.36868435
"77",0.3,0.39015,75,10,0.5,0.36868435
"78",0.25,0.3224,75,10,0.5,0.36868435
"79",0.35,0.41995,75,10,0.5,0.36868435
"80",0.25,0.3792,75,10,0.5,0.36868435
"81",0.35,0.39205,75,10,0.5,0.36868435
"82",0.35,0.35625,75,10,0.5,0.36868435
"83",0.55,0.33115,75,10,0.5,0.36868435
"84",0.4,0.35635,75,10,0.5,0.36868435
"85",0.45,0.3371,75,10,0.5,0.36868435
"86",0.45,0.36165,75,10,0.5,0.36868435
"87",0.5,0.4072,75,10,0.5,0.36868435
"88",0.5,0.442,75,10,0.5,0.36868435
"89",0.3,0.3573,75,10,0.5,0.36868435
"90",0.15,0.34755,75,10,0.5,0.36868435
"91",0.4,0.33185,75,10,0.5,0.36868435
"92",0.5,0.36215,75,10,0.5,0.36868435
"93",0.3,0.35645,75,10,0.5,0.36868435
"94",0.5,0.3558,75,10,0.5,0.36868435
"95",0.4,0.37895,75,10,0.5,0.36868435
"96",0.3,0.4281,75,10,0.5,0.36868435
"97",0.45,0.39525,75,10,0.5,0.36868435
"98",0.45,0.3854,75,10,0.5,0.36868435
"99",0.35,0.3986,75,10,0.5,0.36868435
"100",0.15,0.38085,75,10,0.5,0.36868435
"101",0.35,0.39095,75,10,0.5,0.36868435
