err.hat,errxy,n,p,prop,err,strat
0.9,0.43605,10,10,0.5,0.4339763,fdo
0.5,0.46775,10,10,0.5,0.4339763,fdo
0.2,0.46875,10,10,0.5,0.4339763,fdo
0.8,0.5255,10,10,0.5,0.4339763,fdo
0.5,0.3966,10,10,0.5,0.4339763,fdo
0.7,0.40765,10,10,0.5,0.4339763,fdo
0.4,0.4259,10,10,0.5,0.4339763,fdo
0.6,0.37605,10,10,0.5,0.4339763,fdo
0.4,0.50355,10,10,0.5,0.4339763,fdo
0.6,0.4133,10,10,0.5,0.4339763,fdo
0.2,0.4651,10,10,0.5,0.4339763,fdo
0.3,0.43945,10,10,0.5,0.4339763,fdo
0.8,0.4379,10,10,0.5,0.4339763,fdo
0.5,0.41145,10,10,0.5,0.4339763,fdo
0.7,0.4129,10,10,0.5,0.4339763,fdo
0.9,0.4379,10,10,0.5,0.4339763,fdo
0.6,0.4902,10,10,0.5,0.4339763,fdo
0.5,0.3658,10,10,0.5,0.4339763,fdo
0.6,0.38225,10,10,0.5,0.4339763,fdo
0.6,0.43935,10,10,0.5,0.4339763,fdo
0.3,0.39305,10,10,0.5,0.4339763,fdo
0.6,0.4379,10,10,0.5,0.4339763,fdo
0.4,0.37455,10,10,0.5,0.4339763,fdo
0.4,0.39255,10,10,0.5,0.4339763,fdo
0.6,0.4208,10,10,0.5,0.4339763,fdo
0.7,0.4902,10,10,0.5,0.4339763,fdo
0.4,0.4122,10,10,0.5,0.4339763,fdo
0.7,0.41755,10,10,0.5,0.4339763,fdo
0.6,0.37455,10,10,0.5,0.4339763,fdo
0.8,0.38785,10,10,0.5,0.4339763,fdo
0.6,0.3955,10,10,0.5,0.4339763,fdo
0.5,0.4714,10,10,0.5,0.4339763,fdo
0.8,0.42355,10,10,0.5,0.4339763,fdo
0.4,0.44865,10,10,0.5,0.4339763,fdo
0.4,0.4681,10,10,0.5,0.4339763,fdo
0.1,0.53215,10,10,0.5,0.4339763,fdo
0.2,0.52065,10,10,0.5,0.4339763,fdo
0.7,0.48915,10,10,0.5,0.4339763,fdo
0.6,0.46035,10,10,0.5,0.4339763,fdo
0.5,0.4927,10,10,0.5,0.4339763,fdo
0.4,0.3819,10,10,0.5,0.4339763,fdo
0.6,0.4451,10,10,0.5,0.4339763,fdo
0.7,0.3658,10,10,0.5,0.4339763,fdo
0.5,0.39305,10,10,0.5,0.4339763,fdo
0.3,0.56045,10,10,0.5,0.4339763,fdo
1,0.446,10,10,0.5,0.4339763,fdo
0.1,0.38225,10,10,0.5,0.4339763,fdo
1,0.41155,10,10,0.5,0.4339763,fdo
0.3,0.40515,10,10,0.5,0.4339763,fdo
0.4,0.4129,10,10,0.5,0.4339763,fdo
0.6,0.37455,10,10,0.5,0.4339763,fdo
0.7,0.37605,10,10,0.5,0.4339763,fdo
0.4,0.46875,10,10,0.5,0.4339763,fdo
0.5,0.3503,10,10,0.5,0.4339763,fdo
0.5,0.42765,10,10,0.5,0.4339763,fdo
0.9,0.4945,10,10,0.5,0.4339763,fdo
0.8,0.40515,10,10,0.5,0.4339763,fdo
0.8,0.414,10,10,0.5,0.4339763,fdo
0.3,0.40925,10,10,0.5,0.4339763,fdo
0.5,0.43935,10,10,0.5,0.4339763,fdo
0.9,0.45575,10,10,0.5,0.4339763,fdo
