err.hat,errxy,n,p,prop,err,strat
0.625,0.57395,10,10,0.5,0.47719875,logreg
0.291666666666667,0.4518,10,10,0.5,0.47719875,logreg
0.583333333333333,0.4223,10,10,0.5,0.47719875,logreg
0.5,0.5475,10,10,0.5,0.47719875,logreg
0.25,0.44635,10,10,0.5,0.47719875,logreg
0.916666666666667,0.4719,10,10,0.5,0.47719875,logreg
0.1875,0.4838,10,10,0.5,0.47719875,logreg
0.583333333333333,0.5213,10,10,0.5,0.47719875,logreg
0.458333333333333,0.48605,10,10,0.5,0.47719875,logreg
0.5,0.477,10,10,0.5,0.47719875,logreg
0.625,0.46665,10,10,0.5,0.47719875,logreg
0.416666666666667,0.46395,10,10,0.5,0.47719875,logreg
0.666666666666667,0.46115,10,10,0.5,0.47719875,logreg
0.583333333333333,0.43005,10,10,0.5,0.47719875,logreg
0.375,0.39675,10,10,0.5,0.47719875,logreg
0.3125,0.4864,10,10,0.5,0.47719875,logreg
0.375,0.4041,10,10,0.5,0.47719875,logreg
0.1875,0.452,10,10,0.5,0.47719875,logreg
0.75,0.45645,10,10,0.5,0.47719875,logreg
0.541666666666667,0.4219,10,10,0.5,0.47719875,logreg
0.6875,0.45165,10,10,0.5,0.47719875,logreg
0.333333333333333,0.40785,10,10,0.5,0.47719875,logreg
0.375,0.45975,10,10,0.5,0.47719875,logreg
0.458333333333333,0.4188,10,10,0.5,0.47719875,logreg
0.375,0.5763,10,10,0.5,0.47719875,logreg
0.416666666666667,0.5108,10,10,0.5,0.47719875,logreg
0.5,0.5505,10,10,0.5,0.47719875,logreg
0.375,0.60245,10,10,0.5,0.47719875,logreg
0.4375,0.53745,10,10,0.5,0.47719875,logreg
0.25,0.5579,10,10,0.5,0.47719875,logreg
0.458333333333333,0.44595,10,10,0.5,0.47719875,logreg
0.458333333333333,0.50515,10,10,0.5,0.47719875,logreg
0.375,0.44395,10,10,0.5,0.47719875,logreg
0.375,0.45755,10,10,0.5,0.47719875,logreg
0.5,0.52105,10,10,0.5,0.47719875,logreg
0.4375,0.4809,10,10,0.5,0.47719875,logreg
0.583333333333333,0.3717,10,10,0.5,0.47719875,logreg
0.541666666666667,0.50055,10,10,0.5,0.47719875,logreg
0.333333333333333,0.425,10,10,0.5,0.47719875,logreg
0.375,0.4227,10,10,0.5,0.47719875,logreg
0.291666666666667,0.37735,10,10,0.5,0.47719875,logreg
0.583333333333333,0.64985,10,10,0.5,0.47719875,logreg
0.583333333333333,0.42615,10,10,0.5,0.47719875,logreg
0.458333333333333,0.4332,10,10,0.5,0.47719875,logreg
0.5,0.46,10,10,0.5,0.47719875,logreg
0.416666666666667,0.4888,10,10,0.5,0.47719875,logreg
0.291666666666667,0.3946,10,10,0.5,0.47719875,logreg
0.333333333333333,0.54935,10,10,0.5,0.47719875,logreg
0.375,0.56175,10,10,0.5,0.47719875,logreg
0.25,0.4664,10,10,0.5,0.47719875,logreg
0.583333333333333,0.4769,10,10,0.5,0.47719875,logreg
0.3125,0.5443,10,10,0.5,0.47719875,logreg
0.625,0.4393,10,10,0.5,0.47719875,logreg
0.5,0.52455,10,10,0.5,0.47719875,logreg
0.375,0.5106,10,10,0.5,0.47719875,logreg
0.333333333333333,0.53085,10,10,0.5,0.47719875,logreg
0.458333333333333,0.4116,10,10,0.5,0.47719875,logreg
0.333333333333333,0.4714,10,10,0.5,0.47719875,logreg
0.583333333333333,0.5856,10,10,0.5,0.47719875,logreg
0.25,0.4522,10,10,0.5,0.47719875,logreg
0.1875,0.51115,10,10,0.5,0.47719875,logreg
0.375,0.4346,10,10,0.5,0.47719875,logreg
0.416666666666667,0.35915,10,10,0.5,0.47719875,logreg
0.166666666666667,0.4318,10,10,0.5,0.47719875,logreg
0.541666666666667,0.4917,10,10,0.5,0.47719875,logreg
0.75,0.61475,10,10,0.5,0.47719875,logreg
0.166666666666667,0.3776,10,10,0.5,0.47719875,logreg
0.583333333333333,0.5453,10,10,0.5,0.47719875,logreg
