err.hat,errxy,n,p,prop,err,strat
0.25,0.4814,10,10,0.5,0.44898885,sdcv
0.25,0.5853,10,10,0.5,0.44898885,sdcv
0.5,0.4227,10,10,0.5,0.44898885,sdcv
0.5,0.43175,10,10,0.5,0.44898885,sdcv
0.5,0.5027,10,10,0.5,0.44898885,sdcv
0.25,0.48145,10,10,0.5,0.44898885,sdcv
0.5,0.3956,10,10,0.5,0.44898885,sdcv
0.25,0.4316,10,10,0.5,0.44898885,sdcv
0.75,0.3805,10,10,0.5,0.44898885,sdcv
0.75,0.43955,10,10,0.5,0.44898885,sdcv
0.25,0.46845,10,10,0.5,0.44898885,sdcv
0.5,0.4225,10,10,0.5,0.44898885,sdcv
0.25,0.4666,10,10,0.5,0.44898885,sdcv
0,0.48505,10,10,0.5,0.44898885,sdcv
0.5,0.49435,10,10,0.5,0.44898885,sdcv
1,0.4196,10,10,0.5,0.44898885,sdcv
0.75,0.4708,10,10,0.5,0.44898885,sdcv
0.5,0.50375,10,10,0.5,0.44898885,sdcv
0.75,0.50815,10,10,0.5,0.44898885,sdcv
0.75,0.40165,10,10,0.5,0.44898885,sdcv
0.25,0.3784,10,10,0.5,0.44898885,sdcv
0,0.46815,10,10,0.5,0.44898885,sdcv
0.25,0.456,10,10,0.5,0.44898885,sdcv
0.25,0.4763,10,10,0.5,0.44898885,sdcv
0.25,0.4607,10,10,0.5,0.44898885,sdcv
0.25,0.41115,10,10,0.5,0.44898885,sdcv
0.25,0.4611,10,10,0.5,0.44898885,sdcv
0.25,0.4319,10,10,0.5,0.44898885,sdcv
0.5,0.383,10,10,0.5,0.44898885,sdcv
0.5,0.36005,10,10,0.5,0.44898885,sdcv
0.75,0.5041,10,10,0.5,0.44898885,sdcv
0.75,0.43995,10,10,0.5,0.44898885,sdcv
0.75,0.51165,10,10,0.5,0.44898885,sdcv
0,0.4268,10,10,0.5,0.44898885,sdcv
0.5,0.48885,10,10,0.5,0.44898885,sdcv
0.5,0.4384,10,10,0.5,0.44898885,sdcv
0.5,0.4641,10,10,0.5,0.44898885,sdcv
0.25,0.38275,10,10,0.5,0.44898885,sdcv
0.25,0.4195,10,10,0.5,0.44898885,sdcv
0.75,0.35825,10,10,0.5,0.44898885,sdcv
0.25,0.43685,10,10,0.5,0.44898885,sdcv
0.25,0.40975,10,10,0.5,0.44898885,sdcv
0.75,0.46555,10,10,0.5,0.44898885,sdcv
0.25,0.41825,10,10,0.5,0.44898885,sdcv
0.5,0.43305,10,10,0.5,0.44898885,sdcv
0.5,0.3977,10,10,0.5,0.44898885,sdcv
0,0.4627,10,10,0.5,0.44898885,sdcv
0.5,0.4769,10,10,0.5,0.44898885,sdcv
0.75,0.43335,10,10,0.5,0.44898885,sdcv
1,0.4691,10,10,0.5,0.44898885,sdcv
0.5,0.4712,10,10,0.5,0.44898885,sdcv
0.25,0.51395,10,10,0.5,0.44898885,sdcv
0.5,0.48245,10,10,0.5,0.44898885,sdcv
0.5,0.41375,10,10,0.5,0.44898885,sdcv
0.5,0.4359,10,10,0.5,0.44898885,sdcv
0.75,0.4943,10,10,0.5,0.44898885,sdcv
0.5,0.4686,10,10,0.5,0.44898885,sdcv
0.5,0.444,10,10,0.5,0.44898885,sdcv
0,0.47765,10,10,0.5,0.44898885,sdcv
0.5,0.4029,10,10,0.5,0.44898885,sdcv
0.5,0.47585,10,10,0.5,0.44898885,sdcv
0.5,0.41385,10,10,0.5,0.44898885,sdcv
0.25,0.48965,10,10,0.5,0.44898885,sdcv
0.75,0.4889,10,10,0.5,0.44898885,sdcv
0.75,0.5014,10,10,0.5,0.44898885,sdcv
0.75,0.4339,10,10,0.5,0.44898885,sdcv
1,0.4557,10,10,0.5,0.44898885,sdcv
0.75,0.3752,10,10,0.5,0.44898885,sdcv
0.25,0.4821,10,10,0.5,0.44898885,sdcv
0.25,0.40945,10,10,0.5,0.44898885,sdcv
0.25,0.4323,10,10,0.5,0.44898885,sdcv
0.25,0.4121,10,10,0.5,0.44898885,sdcv
0.75,0.52095,10,10,0.5,0.44898885,sdcv
0.25,0.4792,10,10,0.5,0.44898885,sdcv
0.75,0.441,10,10,0.5,0.44898885,sdcv
0.75,0.45745,10,10,0.5,0.44898885,sdcv
0.25,0.46465,10,10,0.5,0.44898885,sdcv
0.5,0.45635,10,10,0.5,0.44898885,sdcv
0.5,0.4713,10,10,0.5,0.44898885,sdcv
0,0.3674,10,10,0.5,0.44898885,sdcv
0.25,0.4437,10,10,0.5,0.44898885,sdcv
0.75,0.42485,10,10,0.5,0.44898885,sdcv
0.75,0.3299,10,10,0.5,0.44898885,sdcv
0.25,0.5438,10,10,0.5,0.44898885,sdcv
0.5,0.40905,10,10,0.5,0.44898885,sdcv
0.5,0.40965,10,10,0.5,0.44898885,sdcv
1,0.5399,10,10,0.5,0.44898885,sdcv
0.5,0.46435,10,10,0.5,0.44898885,sdcv
0.75,0.4341,10,10,0.5,0.44898885,sdcv
0.5,0.4014,10,10,0.5,0.44898885,sdcv
0.25,0.4251,10,10,0.5,0.44898885,sdcv
0.25,0.49235,10,10,0.5,0.44898885,sdcv
0.5,0.45335,10,10,0.5,0.44898885,sdcv
0.75,0.4902,10,10,0.5,0.44898885,sdcv
0.5,0.4951,10,10,0.5,0.44898885,sdcv
0.75,0.3992,10,10,0.5,0.44898885,sdcv
1,0.49595,10,10,0.5,0.44898885,sdcv
0.25,0.42215,10,10,0.5,0.44898885,sdcv
0.75,0.4595,10,10,0.5,0.44898885,sdcv
0.25,0.38705,10,10,0.5,0.44898885,sdcv
0.75,0.46035,10,10,0.5,0.44898885,sdcv
0.5,0.50065,10,10,0.5,0.44898885,sdcv
0,0.47045,10,10,0.5,0.44898885,sdcv
0.75,0.50115,10,10,0.5,0.44898885,sdcv
0.5,0.417,10,10,0.5,0.44898885,sdcv
0,0.42935,10,10,0.5,0.44898885,sdcv
0.5,0.3712,10,10,0.5,0.44898885,sdcv
0.5,0.4445,10,10,0.5,0.44898885,sdcv
0.5,0.51815,10,10,0.5,0.44898885,sdcv
0.75,0.47955,10,10,0.5,0.44898885,sdcv
0.5,0.4198,10,10,0.5,0.44898885,sdcv
0.25,0.4121,10,10,0.5,0.44898885,sdcv
0.5,0.4737,10,10,0.5,0.44898885,sdcv
0.5,0.4325,10,10,0.5,0.44898885,sdcv
0.75,0.46325,10,10,0.5,0.44898885,sdcv
0.75,0.43495,10,10,0.5,0.44898885,sdcv
0.75,0.49185,10,10,0.5,0.44898885,sdcv
0.5,0.5543,10,10,0.5,0.44898885,sdcv
0.75,0.4339,10,10,0.5,0.44898885,sdcv
0.75,0.4384,10,10,0.5,0.44898885,sdcv
0.5,0.39575,10,10,0.5,0.44898885,sdcv
0.25,0.5291,10,10,0.5,0.44898885,sdcv
0.5,0.3679,10,10,0.5,0.44898885,sdcv
0.75,0.444,10,10,0.5,0.44898885,sdcv
0.5,0.4085,10,10,0.5,0.44898885,sdcv
0.5,0.4513,10,10,0.5,0.44898885,sdcv
0.25,0.3526,10,10,0.5,0.44898885,sdcv
0.75,0.5273,10,10,0.5,0.44898885,sdcv
0.25,0.4314,10,10,0.5,0.44898885,sdcv
0.75,0.5557,10,10,0.5,0.44898885,sdcv
1,0.5198,10,10,0.5,0.44898885,sdcv
0.75,0.41315,10,10,0.5,0.44898885,sdcv
0.5,0.4359,10,10,0.5,0.44898885,sdcv
0.25,0.39935,10,10,0.5,0.44898885,sdcv
0.5,0.35635,10,10,0.5,0.44898885,sdcv
0.5,0.3689,10,10,0.5,0.44898885,sdcv
0.75,0.39135,10,10,0.5,0.44898885,sdcv
0.5,0.4152,10,10,0.5,0.44898885,sdcv
0.25,0.46315,10,10,0.5,0.44898885,sdcv
0.25,0.47625,10,10,0.5,0.44898885,sdcv
0.5,0.4918,10,10,0.5,0.44898885,sdcv
0.75,0.48605,10,10,0.5,0.44898885,sdcv
0.5,0.51505,10,10,0.5,0.44898885,sdcv
0,0.44585,10,10,0.5,0.44898885,sdcv
0.5,0.3946,10,10,0.5,0.44898885,sdcv
1,0.4552,10,10,0.5,0.44898885,sdcv
0.75,0.49385,10,10,0.5,0.44898885,sdcv
0.5,0.4597,10,10,0.5,0.44898885,sdcv
0.5,0.44355,10,10,0.5,0.44898885,sdcv
0.5,0.4007,10,10,0.5,0.44898885,sdcv
1,0.4908,10,10,0.5,0.44898885,sdcv
0.5,0.49625,10,10,0.5,0.44898885,sdcv
0.5,0.4196,10,10,0.5,0.44898885,sdcv
0.75,0.48915,10,10,0.5,0.44898885,sdcv
0.5,0.4096,10,10,0.5,0.44898885,sdcv
0.25,0.48035,10,10,0.5,0.44898885,sdcv
0.75,0.4572,10,10,0.5,0.44898885,sdcv
0,0.35415,10,10,0.5,0.44898885,sdcv
0.5,0.53095,10,10,0.5,0.44898885,sdcv
0.75,0.36265,10,10,0.5,0.44898885,sdcv
0.75,0.5287,10,10,0.5,0.44898885,sdcv
0.5,0.40065,10,10,0.5,0.44898885,sdcv
0.75,0.3878,10,10,0.5,0.44898885,sdcv
0,0.5123,10,10,0.5,0.44898885,sdcv
0.5,0.43815,10,10,0.5,0.44898885,sdcv
0.5,0.49975,10,10,0.5,0.44898885,sdcv
0.5,0.4438,10,10,0.5,0.44898885,sdcv
0.5,0.5575,10,10,0.5,0.44898885,sdcv
1,0.38225,10,10,0.5,0.44898885,sdcv
0.5,0.4463,10,10,0.5,0.44898885,sdcv
0.5,0.4785,10,10,0.5,0.44898885,sdcv
0.25,0.4218,10,10,0.5,0.44898885,sdcv
0.75,0.48325,10,10,0.5,0.44898885,sdcv
0.25,0.44655,10,10,0.5,0.44898885,sdcv
0.75,0.41215,10,10,0.5,0.44898885,sdcv
0,0.42315,10,10,0.5,0.44898885,sdcv
0.25,0.41585,10,10,0.5,0.44898885,sdcv
0.25,0.4738,10,10,0.5,0.44898885,sdcv
0.25,0.44335,10,10,0.5,0.44898885,sdcv
0,0.40785,10,10,0.5,0.44898885,sdcv
0.5,0.4455,10,10,0.5,0.44898885,sdcv
0.25,0.4748,10,10,0.5,0.44898885,sdcv
0.5,0.48055,10,10,0.5,0.44898885,sdcv
0.5,0.45105,10,10,0.5,0.44898885,sdcv
0.75,0.47995,10,10,0.5,0.44898885,sdcv
0.75,0.39935,10,10,0.5,0.44898885,sdcv
0.5,0.4817,10,10,0.5,0.44898885,sdcv
0.5,0.38475,10,10,0.5,0.44898885,sdcv
0.5,0.46165,10,10,0.5,0.44898885,sdcv
0.5,0.456,10,10,0.5,0.44898885,sdcv
0.5,0.45355,10,10,0.5,0.44898885,sdcv
0.25,0.44215,10,10,0.5,0.44898885,sdcv
0.75,0.36635,10,10,0.5,0.44898885,sdcv
0.75,0.43535,10,10,0.5,0.44898885,sdcv
0.25,0.46225,10,10,0.5,0.44898885,sdcv
0,0.44535,10,10,0.5,0.44898885,sdcv
0.75,0.40945,10,10,0.5,0.44898885,sdcv
0,0.3674,10,10,0.5,0.44898885,sdcv
0.75,0.5067,10,10,0.5,0.44898885,sdcv
0.5,0.45475,10,10,0.5,0.44898885,sdcv
0.5,0.3757,10,10,0.5,0.44898885,sdcv
0.5,0.44475,10,10,0.5,0.44898885,sdcv
0,0.3801,10,10,0.5,0.44898885,sdcv
0.5,0.48145,10,10,0.5,0.44898885,sdcv
0,0.47355,10,10,0.5,0.44898885,sdcv
0.75,0.4579,10,10,0.5,0.44898885,sdcv
0.5,0.46095,10,10,0.5,0.44898885,sdcv
0.25,0.42475,10,10,0.5,0.44898885,sdcv
0.25,0.43675,10,10,0.5,0.44898885,sdcv
0.75,0.4754,10,10,0.5,0.44898885,sdcv
0.25,0.4349,10,10,0.5,0.44898885,sdcv
0,0.47135,10,10,0.5,0.44898885,sdcv
0.25,0.43785,10,10,0.5,0.44898885,sdcv
0.25,0.34845,10,10,0.5,0.44898885,sdcv
0.5,0.4183,10,10,0.5,0.44898885,sdcv
0.25,0.4611,10,10,0.5,0.44898885,sdcv
0.75,0.4,10,10,0.5,0.44898885,sdcv
0.25,0.494,10,10,0.5,0.44898885,sdcv
0.25,0.4117,10,10,0.5,0.44898885,sdcv
0.5,0.4232,10,10,0.5,0.44898885,sdcv
0.5,0.4688,10,10,0.5,0.44898885,sdcv
0,0.3839,10,10,0.5,0.44898885,sdcv
0.25,0.4755,10,10,0.5,0.44898885,sdcv
0.5,0.52445,10,10,0.5,0.44898885,sdcv
0.75,0.4723,10,10,0.5,0.44898885,sdcv
0.5,0.3983,10,10,0.5,0.44898885,sdcv
0.25,0.446,10,10,0.5,0.44898885,sdcv
0.5,0.51205,10,10,0.5,0.44898885,sdcv
0.25,0.3554,10,10,0.5,0.44898885,sdcv
0.5,0.4101,10,10,0.5,0.44898885,sdcv
0.5,0.43255,10,10,0.5,0.44898885,sdcv
0.75,0.4326,10,10,0.5,0.44898885,sdcv
0.25,0.4156,10,10,0.5,0.44898885,sdcv
0.5,0.45395,10,10,0.5,0.44898885,sdcv
0.25,0.4423,10,10,0.5,0.44898885,sdcv
0.5,0.4768,10,10,0.5,0.44898885,sdcv
0.5,0.40135,10,10,0.5,0.44898885,sdcv
0.25,0.51345,10,10,0.5,0.44898885,sdcv
0.25,0.51215,10,10,0.5,0.44898885,sdcv
0.75,0.4468,10,10,0.5,0.44898885,sdcv
0.75,0.5142,10,10,0.5,0.44898885,sdcv
0.25,0.36405,10,10,0.5,0.44898885,sdcv
0.25,0.4535,10,10,0.5,0.44898885,sdcv
0.25,0.494,10,10,0.5,0.44898885,sdcv
0.25,0.5547,10,10,0.5,0.44898885,sdcv
0.5,0.39895,10,10,0.5,0.44898885,sdcv
0.25,0.4006,10,10,0.5,0.44898885,sdcv
0,0.41645,10,10,0.5,0.44898885,sdcv
0.75,0.4375,10,10,0.5,0.44898885,sdcv
0.75,0.36195,10,10,0.5,0.44898885,sdcv
0.5,0.5387,10,10,0.5,0.44898885,sdcv
0.75,0.4836,10,10,0.5,0.44898885,sdcv
0.75,0.49445,10,10,0.5,0.44898885,sdcv
0.75,0.46415,10,10,0.5,0.44898885,sdcv
0.75,0.462,10,10,0.5,0.44898885,sdcv
0.25,0.43645,10,10,0.5,0.44898885,sdcv
0.25,0.4126,10,10,0.5,0.44898885,sdcv
0.5,0.3881,10,10,0.5,0.44898885,sdcv
0.75,0.38045,10,10,0.5,0.44898885,sdcv
0.25,0.4175,10,10,0.5,0.44898885,sdcv
0.25,0.3658,10,10,0.5,0.44898885,sdcv
0.25,0.51135,10,10,0.5,0.44898885,sdcv
0.25,0.46455,10,10,0.5,0.44898885,sdcv
0.25,0.4499,10,10,0.5,0.44898885,sdcv
0.75,0.51155,10,10,0.5,0.44898885,sdcv
0.5,0.42985,10,10,0.5,0.44898885,sdcv
0.5,0.41405,10,10,0.5,0.44898885,sdcv
0.5,0.4963,10,10,0.5,0.44898885,sdcv
0,0.41785,10,10,0.5,0.44898885,sdcv
0.5,0.3674,10,10,0.5,0.44898885,sdcv
0.25,0.39405,10,10,0.5,0.44898885,sdcv
0.5,0.48085,10,10,0.5,0.44898885,sdcv
0.25,0.50415,10,10,0.5,0.44898885,sdcv
0.25,0.4779,10,10,0.5,0.44898885,sdcv
0,0.39975,10,10,0.5,0.44898885,sdcv
0.25,0.4559,10,10,0.5,0.44898885,sdcv
0.75,0.40955,10,10,0.5,0.44898885,sdcv
0.5,0.4883,10,10,0.5,0.44898885,sdcv
0.25,0.47605,10,10,0.5,0.44898885,sdcv
0.25,0.4742,10,10,0.5,0.44898885,sdcv
0.5,0.47605,10,10,0.5,0.44898885,sdcv
0,0.41215,10,10,0.5,0.44898885,sdcv
0.5,0.4813,10,10,0.5,0.44898885,sdcv
0,0.4897,10,10,0.5,0.44898885,sdcv
0.25,0.44145,10,10,0.5,0.44898885,sdcv
0.25,0.37585,10,10,0.5,0.44898885,sdcv
0.5,0.46255,10,10,0.5,0.44898885,sdcv
0.75,0.4301,10,10,0.5,0.44898885,sdcv
0.5,0.4209,10,10,0.5,0.44898885,sdcv
0.5,0.42285,10,10,0.5,0.44898885,sdcv
0.25,0.40645,10,10,0.5,0.44898885,sdcv
0.75,0.3879,10,10,0.5,0.44898885,sdcv
0.5,0.48575,10,10,0.5,0.44898885,sdcv
0.5,0.4429,10,10,0.5,0.44898885,sdcv
0.5,0.50335,10,10,0.5,0.44898885,sdcv
0.25,0.48415,10,10,0.5,0.44898885,sdcv
0.25,0.3722,10,10,0.5,0.44898885,sdcv
0.25,0.37,10,10,0.5,0.44898885,sdcv
0.75,0.4505,10,10,0.5,0.44898885,sdcv
0.5,0.4705,10,10,0.5,0.44898885,sdcv
0,0.4165,10,10,0.5,0.44898885,sdcv
0.5,0.4091,10,10,0.5,0.44898885,sdcv
0.5,0.355,10,10,0.5,0.44898885,sdcv
0.5,0.44885,10,10,0.5,0.44898885,sdcv
1,0.4707,10,10,0.5,0.44898885,sdcv
0.5,0.4538,10,10,0.5,0.44898885,sdcv
0.5,0.48545,10,10,0.5,0.44898885,sdcv
0.25,0.40695,10,10,0.5,0.44898885,sdcv
0.5,0.4886,10,10,0.5,0.44898885,sdcv
1,0.45775,10,10,0.5,0.44898885,sdcv
0.75,0.47065,10,10,0.5,0.44898885,sdcv
0.5,0.5251,10,10,0.5,0.44898885,sdcv
0.75,0.47075,10,10,0.5,0.44898885,sdcv
0.75,0.4943,10,10,0.5,0.44898885,sdcv
0.75,0.49785,10,10,0.5,0.44898885,sdcv
0.25,0.458,10,10,0.5,0.44898885,sdcv
1,0.4975,10,10,0.5,0.44898885,sdcv
0.25,0.42245,10,10,0.5,0.44898885,sdcv
0.5,0.36395,10,10,0.5,0.44898885,sdcv
0,0.40255,10,10,0.5,0.44898885,sdcv
0.25,0.45925,10,10,0.5,0.44898885,sdcv
0.75,0.47665,10,10,0.5,0.44898885,sdcv
0.25,0.49745,10,10,0.5,0.44898885,sdcv
0.5,0.5244,10,10,0.5,0.44898885,sdcv
0.75,0.54675,10,10,0.5,0.44898885,sdcv
0.25,0.4745,10,10,0.5,0.44898885,sdcv
1,0.3899,10,10,0.5,0.44898885,sdcv
0.25,0.4681,10,10,0.5,0.44898885,sdcv
0,0.41085,10,10,0.5,0.44898885,sdcv
0.5,0.4638,10,10,0.5,0.44898885,sdcv
