err.hat,errxy,n,p,prop,err,strat
0.5,0.45745,10,10,0.5,0.4496792,sdo
0.5,0.4265,10,10,0.5,0.4496792,sdo
0.75,0.3842,10,10,0.5,0.4496792,sdo
0.25,0.41485,10,10,0.5,0.4496792,sdo
0.25,0.4081,10,10,0.5,0.4496792,sdo
0,0.4065,10,10,0.5,0.4496792,sdo
0.5,0.45745,10,10,0.5,0.4496792,sdo
0.75,0.4418,10,10,0.5,0.4496792,sdo
0.5,0.4316,10,10,0.5,0.4496792,sdo
0.25,0.4572,10,10,0.5,0.4496792,sdo
0.75,0.5353,10,10,0.5,0.4496792,sdo
0.5,0.45325,10,10,0.5,0.4496792,sdo
0.5,0.5028,10,10,0.5,0.4496792,sdo
0.25,0.34225,10,10,0.5,0.4496792,sdo
0.75,0.5353,10,10,0.5,0.4496792,sdo
0.25,0.42255,10,10,0.5,0.4496792,sdo
0.5,0.45005,10,10,0.5,0.4496792,sdo
0.25,0.39435,10,10,0.5,0.4496792,sdo
0.5,0.45035,10,10,0.5,0.4496792,sdo
0.5,0.47385,10,10,0.5,0.4496792,sdo
0.25,0.39455,10,10,0.5,0.4496792,sdo
0.25,0.4674,10,10,0.5,0.4496792,sdo
0.25,0.41895,10,10,0.5,0.4496792,sdo
0.5,0.46415,10,10,0.5,0.4496792,sdo
0.5,0.5028,10,10,0.5,0.4496792,sdo
0.5,0.45005,10,10,0.5,0.4496792,sdo
0.5,0.45325,10,10,0.5,0.4496792,sdo
0.5,0.45745,10,10,0.5,0.4496792,sdo
0.25,0.34225,10,10,0.5,0.4496792,sdo
0.25,0.37895,10,10,0.5,0.4496792,sdo
0.25,0.39455,10,10,0.5,0.4496792,sdo
0.25,0.42255,10,10,0.5,0.4496792,sdo
0.5,0.5028,10,10,0.5,0.4496792,sdo
0.5,0.4316,10,10,0.5,0.4496792,sdo
0.5,0.45035,10,10,0.5,0.4496792,sdo
0.5,0.47385,10,10,0.5,0.4496792,sdo
0,0.44045,10,10,0.5,0.4496792,sdo
0.25,0.41895,10,10,0.5,0.4496792,sdo
0.5,0.46415,10,10,0.5,0.4496792,sdo
0.5,0.45005,10,10,0.5,0.4496792,sdo
0.25,0.39435,10,10,0.5,0.4496792,sdo
0.25,0.37895,10,10,0.5,0.4496792,sdo
0,0.4881,10,10,0.5,0.4496792,sdo
0.5,0.45745,10,10,0.5,0.4496792,sdo
0.5,0.45325,10,10,0.5,0.4496792,sdo
1,0.4772,10,10,0.5,0.4496792,sdo
