err.hat,errxy,n,p,prop,err,strat
0.25,0.46245000000000003,10,10,0.5,0.4618155,sdt
0.5,0.47085,10,10,0.5,0.4618155,sdt
0.5,0.38975,10,10,0.5,0.4618155,sdt
0.5,0.4063,10,10,0.5,0.4618155,sdt
0.5,0.43015,10,10,0.5,0.4618155,sdt
0,0.4287,10,10,0.5,0.4618155,sdt
1,0.4707,10,10,0.5,0.4618155,sdt
0.25,0.45935,10,10,0.5,0.4618155,sdt
0.75,0.49295,10,10,0.5,0.4618155,sdt
0,0.39605,10,10,0.5,0.4618155,sdt
0.25,0.40685,10,10,0.5,0.4618155,sdt
0.75,0.45235,10,10,0.5,0.4618155,sdt
0.25,0.41365,10,10,0.5,0.4618155,sdt
0.75,0.5036,10,10,0.5,0.4618155,sdt
0,0.4258,10,10,0.5,0.4618155,sdt
0.75,0.4185,10,10,0.5,0.4618155,sdt
0.25,0.41745,10,10,0.5,0.4618155,sdt
0.5,0.466,10,10,0.5,0.4618155,sdt
0.5,0.39495,10,10,0.5,0.4618155,sdt
0,0.4279,10,10,0.5,0.4618155,sdt
0.5,0.4465,10,10,0.5,0.4618155,sdt
0.75,0.54315,10,10,0.5,0.4618155,sdt
0.5,0.48395,10,10,0.5,0.4618155,sdt
0.5,0.50595,10,10,0.5,0.4618155,sdt
0.75,0.47625,10,10,0.5,0.4618155,sdt
0.5,0.45675,10,10,0.5,0.4618155,sdt
0.5,0.5057,10,10,0.5,0.4618155,sdt
0.25,0.409,10,10,0.5,0.4618155,sdt
0.25,0.44585,10,10,0.5,0.4618155,sdt
0.5,0.4473,10,10,0.5,0.4618155,sdt
0.75,0.4567,10,10,0.5,0.4618155,sdt
0.5,0.42395,10,10,0.5,0.4618155,sdt
0.25,0.4935,10,10,0.5,0.4618155,sdt
1,0.43125,10,10,0.5,0.4618155,sdt
0.25,0.45655,10,10,0.5,0.4618155,sdt
0.25,0.4313,10,10,0.5,0.4618155,sdt
0.5,0.43065,10,10,0.5,0.4618155,sdt
0.25,0.42355,10,10,0.5,0.4618155,sdt
0.5,0.4333,10,10,0.5,0.4618155,sdt
0,0.4441,10,10,0.5,0.4618155,sdt
0.25,0.4157,10,10,0.5,0.4618155,sdt
0.5,0.495,10,10,0.5,0.4618155,sdt
0.5,0.43845,10,10,0.5,0.4618155,sdt
0.75,0.4567,10,10,0.5,0.4618155,sdt
0,0.40265,10,10,0.5,0.4618155,sdt
0.5,0.53305,10,10,0.5,0.4618155,sdt
0.5,0.44895,10,10,0.5,0.4618155,sdt
0.5,0.47095,10,10,0.5,0.4618155,sdt
0.5,0.48495,10,10,0.5,0.4618155,sdt
0.75,0.3978,10,10,0.5,0.4618155,sdt
0,0.46835,10,10,0.5,0.4618155,sdt
0.75,0.45785,10,10,0.5,0.4618155,sdt
1,0.4267,10,10,0.5,0.4618155,sdt
0.25,0.4967,10,10,0.5,0.4618155,sdt
0.25,0.47385,10,10,0.5,0.4618155,sdt
0.5,0.4835,10,10,0.5,0.4618155,sdt
0.5,0.47025,10,10,0.5,0.4618155,sdt
0.75,0.4939,10,10,0.5,0.4618155,sdt
0.75,0.54605,10,10,0.5,0.4618155,sdt
0.5,0.5838,10,10,0.5,0.4618155,sdt
0.25,0.46125,10,10,0.5,0.4618155,sdt
0.25,0.43915,10,10,0.5,0.4618155,sdt
0.75,0.41975,10,10,0.5,0.4618155,sdt
0.75,0.488,10,10,0.5,0.4618155,sdt
0.25,0.43735,10,10,0.5,0.4618155,sdt
0.25,0.4907,10,10,0.5,0.4618155,sdt
0.25,0.4341,10,10,0.5,0.4618155,sdt
0.75,0.5387,10,10,0.5,0.4618155,sdt
0,0.3927,10,10,0.5,0.4618155,sdt
0.5,0.53255,10,10,0.5,0.4618155,sdt
0.25,0.4075,10,10,0.5,0.4618155,sdt
0.75,0.4148,10,10,0.5,0.4618155,sdt
0.25,0.5052,10,10,0.5,0.4618155,sdt
0.5,0.49995,10,10,0.5,0.4618155,sdt
0.25,0.54115,10,10,0.5,0.4618155,sdt
0.5,0.42825,10,10,0.5,0.4618155,sdt
0.75,0.4469,10,10,0.5,0.4618155,sdt
0.5,0.4791,10,10,0.5,0.4618155,sdt
0.5,0.45865,10,10,0.5,0.4618155,sdt
0.5,0.5158,10,10,0.5,0.4618155,sdt
0.5,0.4438,10,10,0.5,0.4618155,sdt
0.25,0.43055,10,10,0.5,0.4618155,sdt
0.25,0.427,10,10,0.5,0.4618155,sdt
0.75,0.43635,10,10,0.5,0.4618155,sdt
0.5,0.48305,10,10,0.5,0.4618155,sdt
0,0.4248,10,10,0.5,0.4618155,sdt
0,0.46385,10,10,0.5,0.4618155,sdt
0,0.5168,10,10,0.5,0.4618155,sdt
0,0.42355,10,10,0.5,0.4618155,sdt
0.5,0.45,10,10,0.5,0.4618155,sdt
0.5,0.46265,10,10,0.5,0.4618155,sdt
0.25,0.4982,10,10,0.5,0.4618155,sdt
0.75,0.51725,10,10,0.5,0.4618155,sdt
0.75,0.42015,10,10,0.5,0.4618155,sdt
0.25,0.465,10,10,0.5,0.4618155,sdt
0.5,0.56735,10,10,0.5,0.4618155,sdt
0.5,0.50315,10,10,0.5,0.4618155,sdt
0.25,0.47575,10,10,0.5,0.4618155,sdt
0.75,0.44815,10,10,0.5,0.4618155,sdt
0.25,0.41715,10,10,0.5,0.4618155,sdt
0.25,0.4653,10,10,0.5,0.4618155,sdt
0.5,0.48415,10,10,0.5,0.4618155,sdt
0.75,0.4309,10,10,0.5,0.4618155,sdt
0.75,0.50535,10,10,0.5,0.4618155,sdt
0.5,0.48615,10,10,0.5,0.4618155,sdt
0.5,0.39755,10,10,0.5,0.4618155,sdt
0.5,0.4423,10,10,0.5,0.4618155,sdt
0.5,0.5094,10,10,0.5,0.4618155,sdt
0.5,0.45515,10,10,0.5,0.4618155,sdt
0.75,0.4708,10,10,0.5,0.4618155,sdt
0,0.4627,10,10,0.5,0.4618155,sdt
0.5,0.45035,10,10,0.5,0.4618155,sdt
0.5,0.46675,10,10,0.5,0.4618155,sdt
0.5,0.43765,10,10,0.5,0.4618155,sdt
1,0.4135,10,10,0.5,0.4618155,sdt
0.75,0.47165,10,10,0.5,0.4618155,sdt
0.5,0.46965,10,10,0.5,0.4618155,sdt
0.5,0.4821,10,10,0.5,0.4618155,sdt
0.25,0.44545,10,10,0.5,0.4618155,sdt
0.75,0.5118,10,10,0.5,0.4618155,sdt
0.5,0.51415,10,10,0.5,0.4618155,sdt
0.5,0.44485,10,10,0.5,0.4618155,sdt
0.5,0.47265,10,10,0.5,0.4618155,sdt
0.25,0.43595,10,10,0.5,0.4618155,sdt
0.5,0.45565,10,10,0.5,0.4618155,sdt
0.75,0.45515,10,10,0.5,0.4618155,sdt
0.25,0.4389,10,10,0.5,0.4618155,sdt
0.5,0.58415,10,10,0.5,0.4618155,sdt
0.5,0.48395,10,10,0.5,0.4618155,sdt
0.5,0.4426,10,10,0.5,0.4618155,sdt
0.25,0.3951,10,10,0.5,0.4618155,sdt
0.5,0.39935,10,10,0.5,0.4618155,sdt
0.5,0.4594,10,10,0.5,0.4618155,sdt
0.25,0.43005,10,10,0.5,0.4618155,sdt
0.5,0.43245,10,10,0.5,0.4618155,sdt
0.75,0.4534,10,10,0.5,0.4618155,sdt
0.75,0.5221,10,10,0.5,0.4618155,sdt
0.25,0.41505,10,10,0.5,0.4618155,sdt
0.25,0.54185,10,10,0.5,0.4618155,sdt
0.25,0.44895,10,10,0.5,0.4618155,sdt
0.5,0.43395,10,10,0.5,0.4618155,sdt
0.75,0.45415,10,10,0.5,0.4618155,sdt
0.75,0.5064,10,10,0.5,0.4618155,sdt
0.5,0.469,10,10,0.5,0.4618155,sdt
0.75,0.4621,10,10,0.5,0.4618155,sdt
0.5,0.4546,10,10,0.5,0.4618155,sdt
0.25,0.54155,10,10,0.5,0.4618155,sdt
0.5,0.4668,10,10,0.5,0.4618155,sdt
1,0.59935,10,10,0.5,0.4618155,sdt
0.5,0.4493,10,10,0.5,0.4618155,sdt
