err.hat,errxy,n,p,prop,mu2,rep_numb,err
0.20833333333333337,0.22035,10,10,0.5,0.75,1,0.09509355882352948
0.29166666666666674,0.325,10,10,0.5,0.75,2,0.09509355882352948
0.20833333333333337,0.1784,10,10,0.5,0.75,3,0.09509355882352948
0.16666666666666674,0.2973,10,10,0.5,0.75,4,0.09509355882352948
0.41666666666666674,0.2638,10,10,0.5,0.75,5,0.09509355882352948
0.5833333333333334,0.29975,10,10,0.5,0.75,6,0.09509355882352948
0.5,0.2429,10,10,0.5,0.75,7,0.09509355882352948
0.0625,0.285,10,10,0.5,0.75,8,0.09509355882352948
0.20833333333333337,0.2633,10,10,0.5,0.75,9,0.09509355882352948
0.08333333333333337,0.2688,10,10,0.5,0.75,10,0.09509355882352948
0.5,0.2701,10,10,0.5,0.75,11,0.09509355882352948
0.25,0.27695,10,10,0.5,0.75,12,0.09509355882352948
0.41666666666666674,0.3093,10,10,0.5,0.75,13,0.09509355882352948
0.375,0.2735,10,10,0.5,0.75,14,0.09509355882352948
0.0625,0.2942,10,10,0.5,0.75,15,0.09509355882352948
0.33333333333333337,0.1942,10,10,0.5,0.75,16,0.09509355882352948
0.125,0.2266,10,10,0.5,0.75,17,0.09509355882352948
0.33333333333333337,0.2621,10,10,0.5,0.75,18,0.09509355882352948
0.1875,0.24045,10,10,0.5,0.75,19,0.09509355882352948
0.29166666666666674,0.2628,10,10,0.5,0.75,20,0.09509355882352948
0.29166666666666674,0.2403,10,10,0.5,0.75,21,0.09509355882352948
0.0625,0.2518,10,10,0.5,0.75,22,0.09509355882352948
0.29166666666666674,0.346,10,10,0.5,0.75,23,0.09509355882352948
0.25,0.18535,10,10,0.5,0.75,24,0.09509355882352948
0.25,0.3277,10,10,0.5,0.75,25,0.09509355882352948
0.08333333333333337,0.24,10,10,0.5,0.75,26,0.09509355882352948
0.5,0.39435,10,10,0.5,0.75,27,0.09509355882352948
0.20833333333333337,0.2569,10,10,0.5,0.75,28,0.09509355882352948
0.4375,0.23245,10,10,0.5,0.75,29,0.09509355882352948
0,0.3052,10,10,0.5,0.75,30,0.09509355882352948
0.33333333333333337,0.2469,10,10,0.5,0.75,31,0.09509355882352948
0,0.21485,10,10,0.5,0.75,32,0.09509355882352948
0.08333333333333337,0.21265,10,10,0.5,0.75,33,0.09509355882352948
0.41666666666666674,0.21985,10,10,0.5,0.75,34,0.09509355882352948
0.375,0.26735,10,10,0.5,0.75,35,0.09509355882352948
0.4375,0.2478,10,10,0.5,0.75,36,0.09509355882352948
0.25,0.2229,10,10,0.5,0.75,37,0.09509355882352948
0.29166666666666674,0.3181,10,10,0.5,0.75,38,0.09509355882352948
0.08333333333333337,0.1837,10,10,0.5,0.75,39,0.09509355882352948
0.5,0.247,10,10,0.5,0.75,40,0.09509355882352948
0.25,0.2314,10,10,0.5,0.75,41,0.09509355882352948
0.41666666666666674,0.2223,10,10,0.5,0.75,42,0.09509355882352948
0.20833333333333337,0.25215,10,10,0.5,0.75,43,0.09509355882352948
0.20833333333333337,0.2147,10,10,0.5,0.75,44,0.09509355882352948
0.29166666666666663,0.24835,10,10,0.5,0.75,45,0.09509355882352948
0.29166666666666674,0.24305,10,10,0.5,0.75,46,0.09509355882352948
0.375,0.25575,10,10,0.5,0.75,47,0.09509355882352948
0.4375,0.2937,10,10,0.5,0.75,48,0.09509355882352948
0.45833333333333337,0.24215,10,10,0.5,0.75,49,0.09509355882352948
0.29166666666666674,0.2053,10,10,0.5,0.75,50,0.09509355882352948
0,0.34795,10,10,0.5,0.75,51,0.09509355882352948
0.08333333333333337,0.27515,10,10,0.5,0.75,52,0.09509355882352948
0.20833333333333337,0.2648,10,10,0.5,0.75,53,0.09509355882352948
0.3125,0.2305,10,10,0.5,0.75,54,0.09509355882352948
0.45833333333333337,0.2241,10,10,0.5,0.75,55,0.09509355882352948
0.29166666666666674,0.2634,10,10,0.5,0.75,56,0.09509355882352948
0.0625,0.26765,10,10,0.5,0.75,57,0.09509355882352948
0.08333333333333337,0.22775,10,10,0.5,0.75,58,0.09509355882352948
0,0.2429,10,10,0.5,0.75,59,0.09509355882352948
0.25,0.33685,10,10,0.5,0.75,60,0.09509355882352948
0.45833333333333337,0.2695,10,10,0.5,0.75,61,0.09509355882352948
0.25,0.22825,10,10,0.5,0.75,62,0.09509355882352948
0.25,0.2222,10,10,0.5,0.75,63,0.09509355882352948
0.0625,0.3329,10,10,0.5,0.75,64,0.09509355882352948
0.5625,0.22185,10,10,0.5,0.75,65,0.09509355882352948
0.33333333333333337,0.24505,10,10,0.5,0.75,66,0.09509355882352948
0.375,0.2121,10,10,0.5,0.75,67,0.09509355882352948
0.08333333333333337,0.28735,10,10,0.5,0.75,68,0.09509355882352948
0.33333333333333337,0.2035,10,10,0.5,0.75,69,0.09509355882352948
0.29166666666666663,0.24305,10,10,0.5,0.75,70,0.09509355882352948
0.7916666666666667,0.2507,10,10,0.5,0.75,71,0.09509355882352948
0.125,0.28395,10,10,0.5,0.75,72,0.09509355882352948
0.5,0.3097,10,10,0.5,0.75,73,0.09509355882352948
0.375,0.2388,10,10,0.5,0.75,74,0.09509355882352948
0.4375,0.2175,10,10,0.5,0.75,75,0.09509355882352948
