err.hat,errxy,n,p,prop,mu2,rep_numb,err
0.5,0.4258,10,10,0.5,0.75,1,0.28037073529411766
0.5416666666666667,0.48535,10,10,0.5,0.75,2,0.28037073529411766
0.20833333333333337,0.48245,10,10,0.5,0.75,3,0.28037073529411766
0.375,0.46365,10,10,0.5,0.75,4,0.28037073529411766
0.5,0.56145,10,10,0.5,0.75,5,0.28037073529411766
0.16666666666666674,0.4199,10,10,0.5,0.75,6,0.28037073529411766
0.4375,0.44435,10,10,0.5,0.75,7,0.28037073529411766
0.7083333333333334,0.40855,10,10,0.5,0.75,8,0.28037073529411766
0.8333333333333334,0.47865,10,10,0.5,0.75,9,0.28037073529411766
0.41666666666666674,0.4283,10,10,0.5,0.75,10,0.28037073529411766
0.5,0.39665,10,10,0.5,0.75,11,0.28037073529411766
0.45833333333333337,0.40365,10,10,0.5,0.75,12,0.28037073529411766
0.5416666666666667,0.48795,10,10,0.5,0.75,13,0.28037073529411766
0.7083333333333334,0.51585,10,10,0.5,0.75,14,0.28037073529411766
0.75,0.3841,10,10,0.5,0.75,15,0.28037073529411766
0.08333333333333337,0.40795,10,10,0.5,0.75,16,0.28037073529411766
0.375,0.4,10,10,0.5,0.75,17,0.28037073529411766
0.29166666666666674,0.4129,10,10,0.5,0.75,18,0.28037073529411766
0.45833333333333337,0.4044,10,10,0.5,0.75,19,0.28037073529411766
0.5,0.4029,10,10,0.5,0.75,20,0.28037073529411766
0.5833333333333334,0.44935,10,10,0.5,0.75,21,0.28037073529411766
0.5,0.4283,10,10,0.5,0.75,22,0.28037073529411766
0.20833333333333337,0.4015,10,10,0.5,0.75,23,0.28037073529411766
0.45833333333333337,0.4086,10,10,0.5,0.75,24,0.28037073529411766
0.6666666666666667,0.5302,10,10,0.5,0.75,25,0.28037073529411766
0.125,0.34235,10,10,0.5,0.75,26,0.28037073529411766
0.16666666666666674,0.3529,10,10,0.5,0.75,27,0.28037073529411766
0.41666666666666674,0.46305,10,10,0.5,0.75,28,0.28037073529411766
0.375,0.451,10,10,0.5,0.75,29,0.28037073529411766
0.5833333333333334,0.45065,10,10,0.5,0.75,30,0.28037073529411766
0.7916666666666667,0.3972,10,10,0.5,0.75,31,0.28037073529411766
0.7916666666666667,0.382,10,10,0.5,0.75,32,0.28037073529411766
0.0625,0.3912,10,10,0.5,0.75,33,0.28037073529411766
0.7083333333333334,0.36395,10,10,0.5,0.75,34,0.28037073529411766
0.625,0.4062,10,10,0.5,0.75,35,0.28037073529411766
0.625,0.46875,10,10,0.5,0.75,36,0.28037073529411766
0.25,0.36385,10,10,0.5,0.75,37,0.28037073529411766
0.33333333333333337,0.4529,10,10,0.5,0.75,38,0.28037073529411766
0.8333333333333334,0.44365,10,10,0.5,0.75,39,0.28037073529411766
0.625,0.39045,10,10,0.5,0.75,40,0.28037073529411766
0.5833333333333334,0.34155,10,10,0.5,0.75,41,0.28037073529411766
0.375,0.5052,10,10,0.5,0.75,42,0.28037073529411766
0.5416666666666667,0.45405,10,10,0.5,0.75,43,0.28037073529411766
0.7916666666666667,0.40845,10,10,0.5,0.75,44,0.28037073529411766
0.625,0.42985,10,10,0.5,0.75,45,0.28037073529411766
0.5833333333333334,0.42985,10,10,0.5,0.75,46,0.28037073529411766
0.45833333333333337,0.42185,10,10,0.5,0.75,47,0.28037073529411766
0.375,0.3858,10,10,0.5,0.75,48,0.28037073529411766
0.5,0.47275,10,10,0.5,0.75,49,0.28037073529411766
0.25,0.4487,10,10,0.5,0.75,50,0.28037073529411766
0.4375,0.4966,10,10,0.5,0.75,51,0.28037073529411766
0.5,0.41445,10,10,0.5,0.75,52,0.28037073529411766
0.3125,0.3388,10,10,0.5,0.75,53,0.28037073529411766
0.5,0.43875,10,10,0.5,0.75,54,0.28037073529411766
0.29166666666666674,0.45585,10,10,0.5,0.75,55,0.28037073529411766
0.25,0.41165,10,10,0.5,0.75,56,0.28037073529411766
0.45833333333333337,0.4203,10,10,0.5,0.75,57,0.28037073529411766
0.7916666666666667,0.49345,10,10,0.5,0.75,58,0.28037073529411766
0.6666666666666667,0.4261,10,10,0.5,0.75,59,0.28037073529411766
0.4375,0.4089,10,10,0.5,0.75,60,0.28037073529411766
0.25,0.43,10,10,0.5,0.75,61,0.28037073529411766
0.7083333333333334,0.38215,10,10,0.5,0.75,62,0.28037073529411766
0.5,0.4861,10,10,0.5,0.75,63,0.28037073529411766
0.5,0.38185,10,10,0.5,0.75,64,0.28037073529411766
0.7083333333333334,0.3851,10,10,0.5,0.75,65,0.28037073529411766
0.33333333333333326,0.37095,10,10,0.5,0.75,66,0.28037073529411766
0.25,0.39965,10,10,0.5,0.75,67,0.28037073529411766
0.9166666666666666,0.50315,10,10,0.5,0.75,68,0.28037073529411766
0.41666666666666674,0.44255,10,10,0.5,0.75,69,0.28037073529411766
0.5625,0.45725,10,10,0.5,0.75,70,0.28037073529411766
0.7083333333333334,0.33965,10,10,0.5,0.75,71,0.28037073529411766
0.33333333333333337,0.4337,10,10,0.5,0.75,72,0.28037073529411766
0.25,0.38925,10,10,0.5,0.75,73,0.28037073529411766
0.125,0.3778,10,10,0.5,0.75,74,0.28037073529411766
0.5833333333333334,0.41445,10,10,0.5,0.75,75,0.28037073529411766
0.25,0.49685,10,10,0.5,0.75,76,0.28037073529411766
0.5,0.4447,10,10,0.5,0.75,77,0.28037073529411766
0.5833333333333334,0.3935,10,10,0.5,0.75,78,0.28037073529411766
0.3125,0.4477,10,10,0.5,0.75,79,0.28037073529411766
0.41666666666666674,0.46925,10,10,0.5,0.75,80,0.28037073529411766
0.875,0.46515,10,10,0.5,0.75,81,0.28037073529411766
0.75,0.4509,10,10,0.5,0.75,82,0.28037073529411766
0.375,0.44795,10,10,0.5,0.75,83,0.28037073529411766
0.20833333333333337,0.37125,10,10,0.5,0.75,84,0.28037073529411766
0.7083333333333334,0.54155,10,10,0.5,0.75,85,0.28037073529411766
0.5625,0.3564,10,10,0.5,0.75,86,0.28037073529411766
0.625,0.46735,10,10,0.5,0.75,87,0.28037073529411766
0.7916666666666667,0.434,10,10,0.5,0.75,88,0.28037073529411766
0.45833333333333337,0.439,10,10,0.5,0.75,89,0.28037073529411766
0.75,0.44245,10,10,0.5,0.75,90,0.28037073529411766
0.7083333333333334,0.45935,10,10,0.5,0.75,91,0.28037073529411766
0.375,0.35685,10,10,0.5,0.75,92,0.28037073529411766
0.29166666666666674,0.42975,10,10,0.5,0.75,93,0.28037073529411766
0.5416666666666667,0.4403,10,10,0.5,0.75,94,0.28037073529411766
0.5833333333333334,0.4429,10,10,0.5,0.75,95,0.28037073529411766
0.5833333333333334,0.4291,10,10,0.5,0.75,96,0.28037073529411766
0.6666666666666667,0.46245000000000003,10,10,0.5,0.75,97,0.28037073529411766
0.5833333333333334,0.4623,10,10,0.5,0.75,98,0.28037073529411766
0.5833333333333334,0.46415,10,10,0.5,0.75,99,0.28037073529411766
0.125,0.3991,10,10,0.5,0.75,100,0.28037073529411766
0.27380952380952384,0.4166,25,10,0.5,0.75,1,0.28037073529411766
0.4464285714285714,0.4572,25,10,0.5,0.75,2,0.28037073529411766
0.44047619047619047,0.43145,25,10,0.5,0.75,3,0.28037073529411766
0.3928571428571428,0.4655,25,10,0.5,0.75,4,0.28037073529411766
0.2857142857142857,0.4507,25,10,0.5,0.75,5,0.28037073529411766
0.6488095238095238,0.37815,25,10,0.5,0.75,6,0.28037073529411766
0.3571428571428572,0.36025,25,10,0.5,0.75,7,0.28037073529411766
0.47619047619047616,0.37165,25,10,0.5,0.75,8,0.28037073529411766
0.43452380952380953,0.4023,25,10,0.5,0.75,9,0.28037073529411766
0.36904761904761907,0.3345,25,10,0.5,0.75,10,0.28037073529411766
0.36309523809523814,0.3505,25,10,0.5,0.75,11,0.28037073529411766
0.636904761904762,0.39115,25,10,0.5,0.75,12,0.28037073529411766
0.43452380952380965,0.4077,25,10,0.5,0.75,13,0.28037073529411766
0.363095238095238,0.3628,25,10,0.5,0.75,14,0.28037073529411766
0.5595238095238095,0.42285,25,10,0.5,0.75,15,0.28037073529411766
0.4285714285714286,0.344,25,10,0.5,0.75,16,0.28037073529411766
0.5297619047619048,0.4107,25,10,0.5,0.75,17,0.28037073529411766
0.40476190476190477,0.35935,25,10,0.5,0.75,18,0.28037073529411766
